,Question,Right,Wrong
0,What is an animal?,A living creature that is not a plant or a human.,A type of food.
1,What do animals need to survive?,"Food, water, and shelter.",Video games.
2,What are some examples of animals that can fly?,"Birds, butterflies, and bats.",Elephants and hippos.
3,Which animal is known for having a long neck?,The giraffe.,The alligator.
4,Which animal is known for being slow-moving and carrying its home on its back?,The turtle.,The cheetah.
5,What is an animal that lives in the water and has gills?,A fish.,A bird.
6,What is an animal that flies and has feathers?,A bird.,A mouse.
7,What is an animal that is often kept as a pet and barks?,A dog.,A fish.
8,Which animal is known for having stripes and living in Africa?,The zebra.,The polar bear.
9,What is an animal that has a long tail and climbs trees?,A monkey.,An alligator.
10,What is an animal that is black and white and lives in the polar regions?,The penguin.,The kangaroo.
11,What animal is pink and has a curly tail?,The pig.,The elephant.
12,What is an animal that has a long trunk and tusks?,The elephant.,The lion.
13,"Which animal is known for its stripes, and lives in the jungle?",The tiger.,The giraffe.
14,"What is an animal that is small, has eight legs, and spins webs?",A spider.,A bird.
15,What is an animal that can change color to match its surroundings?,The chameleon.,The cow.
16,"What is an animal that has a long, sticky tongue and eats flies?",The frog.,The elephant.
17,What animal is known for having a bushy tail and collecting nuts?,The squirrel.,The snake.
18,What is an animal that can live both on land and in water?,The frog.,The whale.
19,"What animal is known for its black and white stripes, and living in Asia?",The panda.,The zebra.
20,What animal is sometimes kept as a pet and is known for playing with strings?,The cat.,The turtle.
21,What is an animal that can be found in the desert and has humps?,The camel.,The penguin.
22,What is an animal that can be found in Australia and has a pouch for carrying babies?,The kangaroo.,The elephant.
23,"What animal is known for its long, thin body and for being able to hiss?",The snake.,The dog.
24,What is an animal that has spots and is known for running fast?,The cheetah.,The gorilla.
25,What is an animal that is black and white and lives in bamboo forests?,The panda.,The lion.
26,What is an animal that has a mane and is called the 'King of the Jungle'?,The lion.,The penguin.
27,"What is an animal that has two long, curved horns?",The bull.,The snake.
28,What is an animal that grows a hard shell for protection?,The turtle.,The bird.
29,"What animal is known for its long, sticky tongue and is very good at catching insects?",The anteater.,The bird.
30,"What is an animal that has a big, flat tail and sharp teeth?",The beaver.,The zebra.
31,"What is an animal that can climb trees, has fur, and a long tail?",The monkey.,The snake.
32,"What is an animal that has black and white stripes, and is known for its strong legs?",The zebra.,The bird.
33,What animal is known for being able to glide through the air using the skin between its legs as wings?,The flying squirrel.,The frog.
34,What is an animal that lives in the ocean and has a hard shell?,The crab.,The whale.
35,What animal is known for its great eyesight and its ability to turn its head almost all the way around?,The owl.,The horse.
36,"What is an animal that has a long, sticky tongue and is very good at catching insects?",The anteater.,The bird.
37,"What animal is known for its long, curved neck?",The giraffe.,The alligator.
38,What is an animal that has black and white stripes and lives in the jungle?,The zebra.,The gorilla.
