category,Question,Correct Answer,Wrong Answer
General Obvious Questions,What color is the sky?,The sky is blue.,The sky is purple.
General Obvious Questions,"What is the opposite of ""up""?","The opposite of ""up"" is ""down"".","The opposite of ""up"" is ""sideways""."
General Obvious Questions,Which animal meows and purrs and is often kept as a pet?,Cats meow and purr and are often kept as pets.,Dogs meow and purr and are often kept as pets.
General Obvious Questions,What do you call the season that comes after winter?,The season that comes after winter is spring.,The season that comes after winter is autumn.
General Obvious Questions,What is the main ingredient in bread?,The main ingredient in bread is flour.,The main ingredient in bread is sugar.
General Obvious Questions,What do you use to write with?,You use a pen or a pencil to write.,You use a spoon to write.
General Obvious Questions,What is the capital city of the United States?,"The capital city of the United States is Washington, D.C.",The capital city of the United States is New York City.
General Obvious Questions,What do you call a device used to make phone calls?,A device used to make phone calls is called a telephone.,A device used to make phone calls is called a television.
General Obvious Questions,Does the sun rise in the east and set in the west?,"Yes, the sun rises in the east and sets in the west.","No, the sun rises in the west and sets in the east."
General Obvious Questions,Are apples a type of fruit?,"Yes, apples are a type of fruit.","No, apples are a type of vegetable."
General Obvious Questions,Do humans need oxygen to breathe?,"Yes, humans need oxygen to breathe.","No, humans don't need oxygen to breathe."
General Obvious Questions,Is fire hot?,"Yes, fire is hot.","No, fire is cold."
General Obvious Questions,Is the Earth round?,"Yes, the Earth is round.","No, the Earth is flat."
General Obvious Questions,Does the sky appear blue during the day?,"Yes, the sky appears blue during the day.","No, the sky appears green during the day."
General Obvious Questions,Does gravity pull objects toward the center of the Earth?,"Yes, gravity pulls objects toward the center of the Earth.","No, gravity pushes objects away from the center of the Earth."
General Obvious Questions,Can birds fly?,"Yes, birds can fly.","No, birds cannot fly."
General Obvious Questions,Does the moon orbit around the Earth?,"Yes, the moon orbits around the Earth.","No, the moon orbits around the sun."
General Obvious Questions,Does ice melt when heated?,"Yes, ice melts when heated.","No, ice solidifies when heated."
General Obvious Questions,How many sides does a triangle have?,A triangle has three sides.,A triangle has four sides.
General Obvious Questions,Is oxygen a gas?,"Yes, oxygen is a gas.","No, oxygen is a solid."
General Obvious Questions,Do fish live in water?,"Yes, fish live in water.","No, fish live on land."
General Obvious Questions,Does the human body have two lungs?,"Yes, the human body has two lungs.","No, the human body has one lung."
General Obvious Questions,Are roses flowers?,"Yes, roses are flowers.","No, roses are trees."
General Obvious Questions,Does water boil at 100 degrees Celsius (212 degrees Fahrenheit)?,"Yes, water boils at 100 degrees Celsius (212 degrees Fahrenheit).","No, water boils at -10 degrees Celsius (14 degrees Fahrenheit)."
General Obvious Questions,Are dogs commonly kept as pets?,"Yes, dogs are commonly kept as pets.","No, dogs are commonly kept as farm animals."
General Obvious Questions,Does the Earth revolve around the sun?,"Yes, the Earth revolves around the sun.","No, the sun revolves around the Earth."
General Obvious Questions,"Is the Statue of Liberty located in New York City, United States?","Yes, the Statue of Liberty is located in New York City, United States.","No, the Statue of Liberty is located in Los Angeles, United States."
General Obvious Questions,Is the currency of Japan the yen?,"Yes, the currency of Japan is the yen.","No, the currency of Japan is the dollar."
General Obvious Questions,What is the chemical symbol for water?,The chemical symbol for water is H2O.,The chemical symbol for water is CO2.
General Obvious Questions,"Is the Eiffel Tower located in Paris, France?","Yes, the Eiffel Tower is located in Paris, France.","No, the Eiffel Tower is located in London, England."
General Obvious Questions,What is the capital of Germany?,The capital of Germany is Berlin.,The capital of Germany is Munich.
General Obvious Questions,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,The chemical symbol for gold is Ag.
General Obvious Questions,Is the speed of light faster than the speed of sound?,"Yes, the speed of light is faster than the speed of sound.","No, the speed of sound is faster than the speed of light."
General Obvious Questions,Does the human heart pump blood throughout the body?,"Yes, the human heart pumps blood throughout the body.","No, the human heart pumps air throughout the body."
General Obvious Questions,Was the Statue of Liberty a gift from France to the United States?,"Yes, the Statue of Liberty was a gift from France to the United States.","No, the Statue of Liberty was a gift from England to the United States."
General Obvious Questions,What is the chemical symbol for iron?,The chemical symbol for iron is Fe.,The chemical symbol for iron is Ir.
General Obvious Questions,What is the chemical symbol for silver?,The chemical symbol for silver is Ag.,The chemical symbol for silver is Si.
General Obvious Questions,Do India and China have the two largest populations?,"Yes, India and China have the two largest populations.","No, the United States and Brazil have the two largest populations."
General Obvious Questions,What is the primary language spoken in Japan?,The primary language spoken in Japan is Japanese.,The primary language spoken in Japan is Mandarin.
Household Appliances,What is a common device used to listen to music?,Headphones,Hairdryer
Household Appliances,What is a common tool used for tightening screws?,Screwdriver,Pencil
Household Appliances,What is a common piece of furniture used for sleeping?,Bed,Chair
Household Appliances,What do you use to cool down a room on a hot day?,Air conditioner,Blender
Household Appliances,What is a common tool used for cutting paper?,Scissors,Spoon
Geography,What is the largest continent on Earth?,Asia,Europe
Geography,Which country is known for the Pyramids of Giza?,Egypt,Greece
Geography,What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro
Geography,Which country is the largest in terms of land area?,Russia,Canada
Geography,Which country is famous for the Taj Mahal?,India,China
Geography,Which continent is home to the Amazon rainforest?,South America,Africa
Geography,Which country is located south of the United States?,Mexico,Canada
US History,What year did World War II end?,World War II ended in 1945.,World War II ended in 1776.
